FID,Location,Type,Name_of_Co,Multinatio
246, ,FD,Cloth,N
247, ,FD,Cloth,N
248, ,FD,Cloth,N
249, ,FD,Cloth,"N
N"
250, ,FD,Cloth,N
251, ,FD,Jimmy Choo,Y
252, ,FD,Casadei,Y
253, ,Craft,Damiani - Boutique Milano,Y
254, ,Craft,Venini,N
255, ,Craft,Van Cleef & Arpels,N
256, ,FD,Marni Milano,Y
257, ,FD,La Perla,Y
258, ,FD,Zhor Parfums,Y
259, ,FD,Paul & Shark,Y
260, ,Craft,Cartier,Y
261, ,FD,Brioni,N
262, ,FD,Thom Browne,Y
263, ,Craft,Jewel,N
264, ,FD,BALENCIAGA,Y
265, ,FD,VALENTINO,Y
266, ,FD,Cloth,N
267, ,FD,Cloth,N
268, ,FD,Salvatore Ferragamo Man,Y
269, ,FD,Acqua Di Parma Boutique Barberia,Y
270, ,FD,Cloth,N
271, ,FD,Cloth,N
272, ,Art,Museum,N
273, ,FD,Goyard Milan Store,Y
274, ,FD,Barrett Milano,N
275, ,FD,Cloth,N
276, ,FD,Cloth,N
277, ,Craft,Craft,N
278, ,Craft,DAAD Dantone Luxury Boutique,N
279, ,Craft,Il Bisonte Milano,Y
280, ,FD,Cloth,N
281, ,"FD
FD",Cloth,N
282, ,FD,Cloth,N
283, ,Art,Thearto,N
284, ,FD,Cloth,N
285, ,FD,DMAG outlet,Y
286, ,FD,Piquadro,Y
287, ,Craft,APM Monaco Milano,Y
288, ,Art,Theator,N
289, ,FD,VERSACE,Y
290, ,FD,Bottega Veneta Milano BV Home,N
291, ,FD,Rolex,Y
292, ,Craft,Jewel,N
293, ,FD,Cloth,N
294, ,FD,Pinko,Y
295, ,FD,Cloth,N
296, ,FD,Cloth,N
297, ,FD,Cloth,N
298, ,FD,Paul Smith,Y
299, ,Craft,TWINSET Milano Manzoni,Y
300, ,FD,Patrizia Pepe,Y
301, ,FD,Cloth,N
302, ,FD,Jacadi Paris,Y
303, ,FD,Gutteridge,Y
304, ,FD,Bata,Y
305, ,FD,Sephora,Y
306, ,FD,MAC,Y
307, ,FD,GEOX,Y
308, ,FD,Lacoste,Y
309, ,Art,Theator,N
310, ,FD,Canetta Store,N
311, ,FD,Musto Footwear Srl,Y
312, ,FD,IMPERIAL,Y
313, ,FD,Kiko,Y
314, ,FD,Carpisa,Y
315, ,IT,TIM,Y
316, ,FD,Triumph,Y
317, ,FD,Cvg,N
318, ,FD,Antonia,Y
319, ,Craft,Jewel,N
320, ,Art,Theator,N
321, ,Craft,Jewel,N
322, ,Art,Museum,N
323, ,FD,E. Marinella,N
324, ,FD,Atelier Emé Milan,Y
325, ,FD,Cloth,N
326, ,FD,Cloth,N
327, ,Craft,Souviour,N
328, ,FD,Cloth,N
329, ,FD,Elena Mirò,Y
330, ,FD,Valextra Flagship Store,N
331, ,FD,Cloth,N
332, ,Craft,Craft,N
333, ,FD,Cloth,N
334, ,Art,Gallary,N
335, ,FD,SUPERGLAMOUROUS,N
336, ,FD,Masel,N
337, ,FD,Cloth,N
338, ,Art,Gallary,N
339, ,Craft,Jewel,N
340, ,FD,MAC,Y
341, ,FD,Santa Margherita 7,N
342, ,Craft,Craft,N
343, ,Art,Museum,N
344, ,Art,Museum,N
345, ,FD,Magazzini Firme Outlet,Y
346, ,FD,Cloth,N
347, ,FD,Cloth,N
348, ,FD,Cloth,N
349, ,Craft,Craft,N
350, ,FD,Alviero Martini Prima Classe,Y
351, ,Craft,Jewel,N
352, ,Craft,Maschio Gioielli,Y
353, ,FD,Cloth,N
354, ,FD,Larusmiani,N
355, ,FD,Gucci,Y
356, ,FD,Hogan,Y
357, ,FD,Etro Boutique,Y
358, ,Craft,Salvatore Ferragamo Milan,Y
359, ,FD,Moncler,Y
360, ,FD,Watch,Y
361, ,Craft,Jewel,N
362, ,FD,Boutique Dodo,Y
363, ,FD,TIMBERLAND,Y
364, ,FD,Cloth,N
365, ,FD,Cloth,N
366, ,FD,Cloth,N
367, ,FD,Alexander McQueen,Y
368, ,FD,ASPESI,Y
369, ,FD,DMAG outlet,Y
370, ,FD,Coccinelle,N
371, ,FD,Cloth,N
372, ,Craft,Craft,N
373, ,FD,Cloth,N
374, ,FD,Ermenegildo Zegna,Y
375, ,FD,Loro Piana,Y
376, ,Craft,MONTBLANC Milan,Y
377, ,FD,Emilio Pucci,N
378, ,FD,Swatch,Y
379, ,Craft,Craft,N
380, ,FD,Cloth,N
381, ,FD,Cloth,N
382, ,FD,Cloth,N
383, ,FD,Loewe,Y
384, ,FD,COACH,Y
385, ,FD,Giada,Y
386, ,FD,TOD's,Y
387, ,FD,VERSACE,Y
388, ,Art,Museum,N
389, ,FD,Rolex,Y
390, ,FD,Omega,Y
391, ,FD,Abercrombie & Fitch,Y
392, ,FD,Stone Island Store,Y
393, ,FD,Ray-Ban San Babila,Y
394, ,Craft,Brosway Store,Y
395, ,FD,Boggi Milano,Y
396, ,Art,Theator,N
397, ,FD,Diesel store,Y
398, ,FD,Camicissima,N
399, ,Art,Museum,N
400, ,FD,Geox Retail Store,Y
401, ,FD,Cloth,N
402, ,FD,Cloth,N
403, ,Craft,Nano Bleu,Y
404, ,FD,Swatch,Y
405, ,FD,Kiko,Y
406, ,Craft,Swarovski,Y
407, ,FD,Cloth,N
408, ,FD,Superga 165,Y
409, ,FD,Pronovias,Y
410, ,FD,Brooks Brothers,Y
411, ,FD,VERSACE COLLECTION,Y
412, ,FD,Samsonite Flagship,Y
413, ,FD,Bose Store,Y
414, ,FD,Zara,Y
415, ,FD,Calzedonia,Y
416, ,FD,United Colors of Benetton,Y
417, ,FD,Max Mara,Y
418, ,FD,MARELLA Milano Corso Vittorio,Y
419, ,FD,Perfume,N
420, ,FD,Fueguia 1833 Milano,Y
421, ,FD,Plinio Visona' - Italia 1959,N
422, ,FD,Cloth,N
423, ,FD,Heaven 1914 Milano Watches,Y
424, ,Art,Gallary,N
425, ,Craft,Jewel,N
426, ,Craft,Swarovski,Y
427, ,FD,TOD's,Y
428, ,FD,CHANEL Milano Galleria,Y
429, ,Art,Gallary,N
430, ,FD,Versace,Y
431, ,FD,Gucci,Y
432, ,FD,Luisa Spagnoli,Y
433, ,FD,Bric's,Y
434, ,FD,Borsalino,Y
435, ,Craft,Jewel,N
436, ,Craft,Jewel,N
437, ,FD,Moncler,Y
438, ,FD,Prada Milano Galleria Donna,Y
439, ,Craft,Shop Rebecca,Y
440, ,FD,Tiffany & Co.,Y
441, ,Craft,YNOT?,Y
442, ,FD,Ferrari Store,Y
443, ,FD,K-Way 9 Milano,Y
444, ,IT,Leica Store,Y
445, ,FD,Camicissima,N
446, ,Arch,Sculpture & Design,N
447, ,Craft,dmail,Y
448, ,IT,Apple,Y
449, ,FD,Bralux,Y
450, ,FD,Celio,Y
451, ,FD,Adidas,Y
452, ,FD,Coccinelle,Y
453, ,FD,Suitcase,N
454, ,Craft,Lasmas,N
455, ,FD,Urban Outfitters,Y
456, ,Fiilm,Cineam,N
457, ,Craft,Craft,N
