unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,NO	: 	1478 	1451 	1515 	1645 	1933 	2454 
NR,ED5,F,NO0	: 	1478 	1451 	1515 	1645 	1933 	2454 
NR,ED5,F,NO01	: 	673 	651 	651 	819 	1421 	1736 
NR,ED5,F,NO02	: 	37 	22 	35 	26 	27 	25 
NR,ED5,F,NO03	: 	89 	104 	110 	121 	76 	76 
NR,ED5,F,NO04	: 	194 	180 	145 	123 	116 	138 
NR,ED5,F,NO05	: 	272 	279 	305 	299 	171 	230 
NR,ED5,F,NO06	: 	174 	189 	239 	209 	75 	177 
NR,ED5,F,NO07	: 	39 	26 	30 	48 	47 	72 
NR,ED5,F,NOZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,NOZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,PL	: 	196 	176 	268 	2208 	4774 	8917 
NR,ED5,F,PL2	: 	63 	67 	87 	744 	1444 	2730 
NR,ED5,F,PL21	: 	0 	0 	0 	19 	48 	211 
NR,ED5,F,PL22	: 	63 	67 	87 	725 	1396 	2519 
NR,ED5,F,PL4	: 	47 	38 	65 	222 	555 	1040 
NR,ED5,F,PL41	: 	47 	38 	65 	222 	440 	857 
NR,ED5,F,PL42	: 	0 	0 	0 	0 	115 	183 
NR,ED5,F,PL43	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,PL5	: 	0 	10 	21 	244 	515 	976 
NR,ED5,F,PL51	: 	0 	10 	21 	210 	400 	711 
NR,ED5,F,PL52	: 	0 	0 	0 	34 	115 	265 
NR,ED5,F,PL6	: 	0 	0 	0 	191 	470 	951 
NR,ED5,F,PL61	: 	0 	0 	0 	132 	279 	515 
NR,ED5,F,PL62	: 	0 	0 	0 	59 	122 	249 
NR,ED5,F,PL63	: 	0 	0 	0 	0 	69 	187 
NR,ED5,F,PL7	: 	45 	27 	79 	285 	597 	952 
NR,ED5,F,PL71	: 	0 	0 	61 	266 	528 	795 
NR,ED5,F,PL72	: 	45 	27 	18 	19 	69 	157 
NR,ED5,F,PL8	: 	41 	34 	16 	231 	444 	949 
NR,ED5,F,PL81	: 	41 	34 	16 	75 	181 	308 
NR,ED5,F,PL82	: 	0 	0 	0 	137 	243 	491 
NR,ED5,F,PL84	: 	0 	0 	0 	19 	20 	150 
